mode,threshold,coverage,accuracy,risk,n
RL,0.04,1.0,0.8637820512820513,0.13621794871794868,624
RL,0.06,1.0,0.8637820512820513,0.13621794871794868,624
RL,0.08,1.0,0.8637820512820513,0.13621794871794868,624
RL,0.1,1.0,0.8637820512820513,0.13621794871794868,624
RL,0.12,1.0,0.8637820512820513,0.13621794871794868,624
RL,0.14,1.0,0.8637820512820513,0.13621794871794868,624
RL,0.16,1.0,0.8637820512820513,0.13621794871794868,624
RL,0.18,1.0,0.8637820512820513,0.13621794871794868,624
RL,0.2,1.0,0.8637820512820513,0.13621794871794868,624
RL,0.22,1.0,0.8637820512820513,0.13621794871794868,624
RL,0.24,1.0,0.8637820512820513,0.13621794871794868,624
RL,0.26,1.0,0.8637820512820513,0.13621794871794868,624
RL,0.28,1.0,0.8637820512820513,0.13621794871794868,624
RL,0.3,1.0,0.8637820512820513,0.13621794871794868,624
RL,0.32,1.0,0.8637820512820513,0.13621794871794868,624
RL,0.34,1.0,0.8637820512820513,0.13621794871794868,624
RL,0.36,1.0,0.8637820512820513,0.13621794871794868,624
RL,0.38,0.9919871794871795,0.8659127625201939,0.1340872374798061,619
RL,0.4,0.9919871794871795,0.8659127625201939,0.1340872374798061,619
RL,0.42,0.9903846153846154,0.8673139158576052,0.1326860841423948,618
RL,0.44,0.9887820512820513,0.8687196110210696,0.13128038897893035,617
RL,0.46,0.9887820512820513,0.8687196110210696,0.13128038897893035,617
RL,0.48,0.9887820512820513,0.8687196110210696,0.13128038897893035,617
RL,0.5,0.9887820512820513,0.8687196110210696,0.13128038897893035,617
RL,0.52,0.9887820512820513,0.8687196110210696,0.13128038897893035,617
RL,0.54,0.9887820512820513,0.8687196110210696,0.13128038897893035,617
RL,0.56,0.9887820512820513,0.8687196110210696,0.13128038897893035,617
RL,0.58,0.9887820512820513,0.8687196110210696,0.13128038897893035,617
RL,0.6,0.9871794871794872,0.8701298701298701,0.1298701298701299,616
RL,0.62,0.9855769230769231,0.8699186991869918,0.13008130081300817,615
RL,0.64,0.9839743589743589,0.8713355048859935,0.12866449511400646,614
RL,0.66,0.9823717948717948,0.8711256117455138,0.12887438825448616,613
RL,0.68,0.9807692307692307,0.8709150326797386,0.12908496732026142,612
RL,0.7,0.9807692307692307,0.8709150326797386,0.12908496732026142,612
RL,0.72,0.9791666666666666,0.8707037643207856,0.12929623567921444,611
RL,0.74,0.9791666666666666,0.8707037643207856,0.12929623567921444,611
RL,0.76,0.9791666666666666,0.8707037643207856,0.12929623567921444,611
RL,0.78,0.9743589743589743,0.8700657894736842,0.12993421052631582,608
RL,0.8,0.9743589743589743,0.8700657894736842,0.12993421052631582,608
RL,0.82,0.9727564102564102,0.8698517298187809,0.1301482701812191,607
RL,0.84,0.9631410256410257,0.870216306156406,0.129783693843594,601
RL,0.86,0.9487179487179487,0.8716216216216216,0.1283783783783784,592
RL,0.88,0.0,0.0,1.0,0
RL,0.9,0.0,0.0,1.0,0
RL,0.92,0.0,0.0,1.0,0
RL,0.94,0.0,0.0,1.0,0
RL,0.96,0.0,0.0,1.0,0
RL,0.98,0.0,0.0,1.0,0
RL,1.0,0.0,0.0,1.0,0
ROUTER,0.0,1.0,0.8637820512820513,0.13621794871794868,624
ROUTER,0.02,1.0,0.8637820512820513,0.13621794871794868,624
ROUTER,0.04,1.0,0.8637820512820513,0.13621794871794868,624
ROUTER,0.06,1.0,0.8637820512820513,0.13621794871794868,624
ROUTER,0.08,1.0,0.8637820512820513,0.13621794871794868,624
ROUTER,0.1,1.0,0.8637820512820513,0.13621794871794868,624
ROUTER,0.12,1.0,0.8637820512820513,0.13621794871794868,624
ROUTER,0.14,1.0,0.8637820512820513,0.13621794871794868,624
ROUTER,0.16,1.0,0.8637820512820513,0.13621794871794868,624
ROUTER,0.18,1.0,0.8637820512820513,0.13621794871794868,624
ROUTER,0.2,1.0,0.8637820512820513,0.13621794871794868,624
ROUTER,0.22,1.0,0.8637820512820513,0.13621794871794868,624
ROUTER,0.24,1.0,0.8637820512820513,0.13621794871794868,624
ROUTER,0.26,1.0,0.8637820512820513,0.13621794871794868,624
ROUTER,0.28,1.0,0.8637820512820513,0.13621794871794868,624
ROUTER,0.3,1.0,0.8637820512820513,0.13621794871794868,624
ROUTER,0.32,1.0,0.8637820512820513,0.13621794871794868,624
ROUTER,0.34,1.0,0.8637820512820513,0.13621794871794868,624
ROUTER,0.36,1.0,0.8637820512820513,0.13621794871794868,624
ROUTER,0.38,1.0,0.8637820512820513,0.13621794871794868,624
ROUTER,0.4,1.0,0.8637820512820513,0.13621794871794868,624
ROUTER,0.42,0.0,0.0,1.0,0
ROUTER,0.44,0.0,0.0,1.0,0
ROUTER,0.46,0.0,0.0,1.0,0
ROUTER,0.48,0.0,0.0,1.0,0
ROUTER,0.5,0.0,0.0,1.0,0
ROUTER,0.52,0.0,0.0,1.0,0
ROUTER,0.54,0.0,0.0,1.0,0
ROUTER,0.56,0.0,0.0,1.0,0
ROUTER,0.58,0.0,0.0,1.0,0
ROUTER,0.6,0.0,0.0,1.0,0
ROUTER,0.62,0.0,0.0,1.0,0
ROUTER,0.64,0.0,0.0,1.0,0
ROUTER,0.66,0.0,0.0,1.0,0
ROUTER,0.68,0.0,0.0,1.0,0
ROUTER,0.7,0.0,0.0,1.0,0
ROUTER,0.72,0.0,0.0,1.0,0
ROUTER,0.74,0.0,0.0,1.0,0
ROUTER,0.76,0.0,0.0,1.0,0
ROUTER,0.78,0.0,0.0,1.0,0
ROUTER,0.8,0.0,0.0,1.0,0
ROUTER,0.82,0.0,0.0,1.0,0
ROUTER,0.84,0.0,0.0,1.0,0
ROUTER,0.86,0.0,0.0,1.0,0
ROUTER,0.88,0.0,0.0,1.0,0
ROUTER,0.9,0.0,0.0,1.0,0
ROUTER,0.92,0.0,0.0,1.0,0
ROUTER,0.94,0.0,0.0,1.0,0
ROUTER,0.96,0.0,0.0,1.0,0
ROUTER,0.98,0.0,0.0,1.0,0
ROUTER,1.0,0.0,0.0,1.0,0
SYM_ONLY,0.0,1.0,0.1201923076923077,0.8798076923076923,624
SYM_ONLY,0.02,1.0,0.1201923076923077,0.8798076923076923,624
SYM_ONLY,0.04,0.10096153846153846,1.0,0.0,63
SYM_ONLY,0.06,0.10096153846153846,1.0,0.0,63
SYM_ONLY,0.08,0.10096153846153846,1.0,0.0,63
SYM_ONLY,0.1,0.10096153846153846,1.0,0.0,63
SYM_ONLY,0.12,0.10096153846153846,1.0,0.0,63
SYM_ONLY,0.14,0.10096153846153846,1.0,0.0,63
SYM_ONLY,0.16,0.10096153846153846,1.0,0.0,63
SYM_ONLY,0.18,0.10096153846153846,1.0,0.0,63
SYM_ONLY,0.2,0.10096153846153846,1.0,0.0,63
SYM_ONLY,0.22,0.10096153846153846,1.0,0.0,63
SYM_ONLY,0.24,0.10096153846153846,1.0,0.0,63
SYM_ONLY,0.26,0.10096153846153846,1.0,0.0,63
SYM_ONLY,0.28,0.10096153846153846,1.0,0.0,63
SYM_ONLY,0.3,0.10096153846153846,1.0,0.0,63
SYM_ONLY,0.32,0.10096153846153846,1.0,0.0,63
SYM_ONLY,0.34,0.10096153846153846,1.0,0.0,63
SYM_ONLY,0.36,0.10096153846153846,1.0,0.0,63
SYM_ONLY,0.38,0.10096153846153846,1.0,0.0,63
SYM_ONLY,0.4,0.10096153846153846,1.0,0.0,63
SYM_ONLY,0.42,0.10096153846153846,1.0,0.0,63
SYM_ONLY,0.44,0.10096153846153846,1.0,0.0,63
SYM_ONLY,0.46,0.10096153846153846,1.0,0.0,63
SYM_ONLY,0.48,0.10096153846153846,1.0,0.0,63
SYM_ONLY,0.5,0.10096153846153846,1.0,0.0,63
SYM_ONLY,0.52,0.10096153846153846,1.0,0.0,63
SYM_ONLY,0.54,0.10096153846153846,1.0,0.0,63
SYM_ONLY,0.56,0.10096153846153846,1.0,0.0,63
SYM_ONLY,0.58,0.10096153846153846,1.0,0.0,63
SYM_ONLY,0.6,0.10096153846153846,1.0,0.0,63
SYM_ONLY,0.62,0.10096153846153846,1.0,0.0,63
SYM_ONLY,0.64,0.10096153846153846,1.0,0.0,63
SYM_ONLY,0.66,0.10096153846153846,1.0,0.0,63
SYM_ONLY,0.68,0.10096153846153846,1.0,0.0,63
SYM_ONLY,0.7,0.10096153846153846,1.0,0.0,63
SYM_ONLY,0.72,0.10096153846153846,1.0,0.0,63
SYM_ONLY,0.74,0.10096153846153846,1.0,0.0,63
SYM_ONLY,0.76,0.10096153846153846,1.0,0.0,63
SYM_ONLY,0.78,0.10096153846153846,1.0,0.0,63
SYM_ONLY,0.8,0.10096153846153846,1.0,0.0,63
SYM_ONLY,0.82,0.10096153846153846,1.0,0.0,63
SYM_ONLY,0.84,0.10096153846153846,1.0,0.0,63
SYM_ONLY,0.86,0.10096153846153846,1.0,0.0,63
SYM_ONLY,0.88,0.10096153846153846,1.0,0.0,63
SYM_ONLY,0.9,0.10096153846153846,1.0,0.0,63
SYM_ONLY,0.92,0.10096153846153846,1.0,0.0,63
SYM_ONLY,0.94,0.10096153846153846,1.0,0.0,63
SYM_ONLY,0.96,0.10096153846153846,1.0,0.0,63
SYM_ONLY,0.98,0.10096153846153846,1.0,0.0,63
SYM_ONLY,1.0,0.10096153846153846,1.0,0.0,63
