factor_key,country_code,country_name,year,method,unit,value_kg_co2e_per_kwh,source_ref,status,notes
electricity_dk_1990_lc,DK,Denmark,1990,CoM Table3 EU LC GHG,kg CO2e/kWh,0.589002812475672,totalCarbonfootprintcalculation/CoM-Emission-factors-for-national-electricity-2024.xlsx,grounded,Extracted from Table3_EU_LC year column 1990
electricity_dk_1991_lc,DK,Denmark,1991,CoM Table3 EU LC GHG,kg CO2e/kWh,0.870235556007075,totalCarbonfootprintcalculation/CoM-Emission-factors-for-national-electricity-2024.xlsx,grounded,Extracted from Table3_EU_LC year column 1991
electricity_dk_1992_lc,DK,Denmark,1992,CoM Table3 EU LC GHG,kg CO2e/kWh,0.675404967995311,totalCarbonfootprintcalculation/CoM-Emission-factors-for-national-electricity-2024.xlsx,grounded,Extracted from Table3_EU_LC year column 1992
electricity_dk_1993_lc,DK,Denmark,1993,CoM Table3 EU LC GHG,kg CO2e/kWh,0.703406455288927,totalCarbonfootprintcalculation/CoM-Emission-factors-for-national-electricity-2024.xlsx,grounded,Extracted from Table3_EU_LC year column 1993
electricity_dk_1994_lc,DK,Denmark,1994,CoM Table3 EU LC GHG,kg CO2e/kWh,0.808170553857611,totalCarbonfootprintcalculation/CoM-Emission-factors-for-national-electricity-2024.xlsx,grounded,Extracted from Table3_EU_LC year column 1994
electricity_dk_1995_lc,DK,Denmark,1995,CoM Table3 EU LC GHG,kg CO2e/kWh,0.730010970434549,totalCarbonfootprintcalculation/CoM-Emission-factors-for-national-electricity-2024.xlsx,grounded,Extracted from Table3_EU_LC year column 1995
electricity_dk_1996_lc,DK,Denmark,1996,CoM Table3 EU LC GHG,kg CO2e/kWh,0.830466314580286,totalCarbonfootprintcalculation/CoM-Emission-factors-for-national-electricity-2024.xlsx,grounded,Extracted from Table3_EU_LC year column 1996
electricity_dk_1997_lc,DK,Denmark,1997,CoM Table3 EU LC GHG,kg CO2e/kWh,0.72204578166332,totalCarbonfootprintcalculation/CoM-Emission-factors-for-national-electricity-2024.xlsx,grounded,Extracted from Table3_EU_LC year column 1997
electricity_dk_1998_lc,DK,Denmark,1998,CoM Table3 EU LC GHG,kg CO2e/kWh,0.665111702954744,totalCarbonfootprintcalculation/CoM-Emission-factors-for-national-electricity-2024.xlsx,grounded,Extracted from Table3_EU_LC year column 1998
electricity_dk_1999_lc,DK,Denmark,1999,CoM Table3 EU LC GHG,kg CO2e/kWh,0.592698472530698,totalCarbonfootprintcalculation/CoM-Emission-factors-for-national-electricity-2024.xlsx,grounded,Extracted from Table3_EU_LC year column 1999
electricity_dk_2000_lc,DK,Denmark,2000,CoM Table3 EU LC GHG,kg CO2e/kWh,0.493902259824928,totalCarbonfootprintcalculation/CoM-Emission-factors-for-national-electricity-2024.xlsx,grounded,Extracted from Table3_EU_LC year column 2000
electricity_dk_2001_lc,DK,Denmark,2001,CoM Table3 EU LC GHG,kg CO2e/kWh,0.545896011145715,totalCarbonfootprintcalculation/CoM-Emission-factors-for-national-electricity-2024.xlsx,grounded,Extracted from Table3_EU_LC year column 2001
electricity_dk_2002_lc,DK,Denmark,2002,CoM Table3 EU LC GHG,kg CO2e/kWh,0.511132764913759,totalCarbonfootprintcalculation/CoM-Emission-factors-for-national-electricity-2024.xlsx,grounded,Extracted from Table3_EU_LC year column 2002
electricity_dk_2003_lc,DK,Denmark,2003,CoM Table3 EU LC GHG,kg CO2e/kWh,0.602939898816458,totalCarbonfootprintcalculation/CoM-Emission-factors-for-national-electricity-2024.xlsx,grounded,Extracted from Table3_EU_LC year column 2003
